Time Step,Robot ID,X,Y,Degree,SD Est,,
13,4,-375.40848,-196.8978,0,0,,
13,5,148.55583,-221.55695,0,0,,
13,6,-350.30682,-69.9553,0,0,,
13,7,-17.42557,222.01653,0,0,,
13,8,-62.979717,-28.700447,1,1,,
13,9,301.05975,-195.74547,0,0,,
13,10,82.36127,-385.63687,0,0,,
13,11,32.409393,-331.82605,0,0,,
14,0,-84.26681,173.87227,0,0,,
14,1,-194.46994,-20.76481,0,0,,
14,2,-48.936787,-13.554373,1,1,,
14,3,-93.62231,349.0946,0,0,,
14,4,-372.72833,-195.54991,0,0,,
14,5,145.55786,-221.66711,0,0,,
14,6,-347.93237,-68.12175,0,0,,
14,7,-20.271063,222.96687,0,0,,
14,8,-61.162094,-26.313766,1,1,,
14,9,298.47925,-194.21542,0,0,,
14,10,85.02814,-384.26288,0,0,,
14,11,29.56564,-330.8705,0,0,,
15,0,-81.44507,174.89099,0,0,,
15,1,-195.52522,-23.573078,0,0,,
15,2,-49.986553,-10.487552,1,1,,
15,3,-94.63497,351.91852,0,0,,
15,4,-370.29553,-193.79448,0,0,,
15,5,142.61763,-221.07126,0,0,,
15,6,-346.19574,-65.675514,0,0,,
15,7,-22.849655,224.50012,0,0,,
15,8,-58.65512,-24.666016,1,1,,
15,9,295.56476,-193.50432,0,0,,
15,10,87.981026,-383.7333,0,0,,
15,11,26.991404,-329.32996,0,0,,
16,0,-78.59636,175.83165,0,0,,
16,1,-197.22284,-26.046562,0,0,,
16,2,-48.274708,-10.602043,1,1,,
16,3,-96.50347,354.2656,0,0,,
16,4,-367.5724,-192.53569,0,0,,
16,5,139.63054,-220.79324,0,0,,
16,6,-345.18677,-62.850273,0,0,,
16,7,-25.312222,226.21353,0,0,,
16,8,-56.15538,-23.007315,1,1,,
16,9,292.73917,-192.49629,0,0,,
16,10,90.68637,-382.43674,0,0,,
16,11,24.092001,-328.5596,0,0,,
17,0,-75.78776,176.88606,1,0.2,,
17,1,-199.02058,-28.448254,0,0,,
17,2,-46.130795,-3.2084646,1,1,,
17,3,-98.93677,356.02032,0,0,,
17,4,-364.79977,-191.39001,0,0,,
17,5,136.7233,-220.05302,0,0,,
17,6,-343.5204,-60.35564,0,0,,
17,7,-27.920269,227.69612,1,1,,
17,8,-53.946377,-20.977463,1,1,,
17,9,290.0545,-191.15742,0,0,,
17,10,93.45069,-381.27118,0,0,,
17,11,21.165167,-327.9011,0,0,,
18,0,-73.01959,178.04245,1,1,,
18,1,-201.00336,-30.699606,0,0,,
